,AUDIO-STREAMING,Audio-Streaming,Browsing,Chat,Email,File-Transfer,File-transfer,P2P,VOIP,Video-Streaming,Video-streaming
AUDIO-STREAMING,885,0,83,0,5,2,27,55,0,7,0
Audio-Streaming,664,8430,684,143,258,483,189,299,58,771,1902
Browsing,3091,104,27118,27,444,911,131,30,31,627,5
Chat,328,117,82,3206,1609,141,92,82,2101,217,166
Email,78,68,161,492,1654,192,20,37,1492,50,57
File-Transfer,628,257,1605,124,255,3999,155,139,120,348,138
File-transfer,0,0,0,0,0,0,48,0,11,0,0
P2P,316,6,146,10,196,144,491,32496,112,47,0
VOIP,6,23,24,72,109,20,70,0,2084,41,47
Video-Streaming,1134,1190,823,152,115,137,102,13,21,1958,995
Video-streaming,0,6,0,4,0,0,3,0,0,13,171
