feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
Source Port,protocol_port,1.0,0.983981,0.0009134434,0.983981
Destination Port,protocol_port,0.5543892,0.93893033,0.0068796254,0.5205328
Fwd IAT Mean,iat,0.5403232,0.96279824,0.0053894063,0.52022225
Flow Packets/s,packet_count,0.53278965,0.91438174,0.0037645064,0.48717314
Flow IAT Mean,iat,0.5305391,0.9049195,6.7091416e-05,0.48009518
Flow Bytes/s,byte_count,0.58389294,0.7530759,0.0053586173,0.4397157
Bwd IAT Mean,iat,0.48098272,0.8506485,0.0030488323,0.40914723
Flow IAT Max,iat,0.44223836,0.91518986,0.0013667025,0.40473208
Bwd IAT Min,iat,0.42749178,0.9276148,0.021011982,0.3965477
Bwd IAT Max,iat,0.42877948,0.8766337,0.0047303843,0.37588254
Fwd IAT Max,iat,0.4430868,0.8459317,0.017584099,0.3748212
Fwd IAT Min,iat,0.41264018,0.8392093,0.19723979,0.34629148
Flow IAT Std,iat,0.38087028,0.8348999,0.021658486,0.31798857
Flow IAT Min,iat,0.36133206,0.87988174,0.06416334,0.31792948
Fwd IAT Std,iat,0.36432672,0.84317,0.021926744,0.30718935
Bwd IAT Std,iat,0.3037223,0.874747,0.016691292,0.26568016
Flow Duration,duration,0.25534767,0.5152958,0.05390862,0.13157958
Idle Mean,active_idle,0.0213444,0.7740253,0.15885942,0.016521106
Active Min,active_idle,0.023207145,0.70246696,0.06106919,0.016302252
Idle Min,active_idle,0.024257027,0.5650246,0.1159681,0.013705817
Active Mean,active_idle,0.02793239,0.4773259,0.097968064,0.013332853
Active Max,active_idle,0.020212956,0.4748579,0.09746096,0.009598281
Idle Max,active_idle,0.014272778,0.4843704,0.09941523,0.0069133113
