feature_name,abs_corr,selected
std_idle,0.6326602,True
std_active,0.6318649,True
min_biat,0.39547536,True
min_fiat,0.38077876,True
total_biat,0.3543009,True
total_fiat,0.32604292,True
max_idle,0.32471767,True
mean_idle,0.3146335,True
max_active,0.31114957,True
mean_active,0.30812177,True
min_active,0.30397728,True
min_idle,0.3026779,True
duration,0.30117175,True
mean_biat,0.2541588,True
min_flowiat,0.20830111,True
mean_fiat,0.20482403,True
std_flowiat,0.17453529,True
max_biat,0.17094438,True
max_fiat,0.14761077,True
mean_flowiat,0.13450794,True
max_flowiat,0.13346551,True
flowBytesPerSecond,0.13139218,True
flowPktsPerSecond,0.094447605,True
