,BROWSING,CHAT,FT,MAIL,P2P,STREAMING,VOIP,VPN-BROWSING,VPN-CHAT,VPN-FT,VPN-MAIL,VPN-P2P,VPN-STREAMING,VPN-VOIP
BROWSING,827,183,8,17,0,83,0,516,42,9,5,16,44,0
CHAT,59,414,0,5,4,1,0,16,30,87,0,6,1,0
FT,9,5,411,60,1,17,2,10,30,22,19,109,17,0
MAIL,0,0,0,153,0,0,0,0,0,0,20,2,0,0
P2P,0,7,1,0,668,0,0,4,6,4,0,10,0,0
STREAMING,11,1,14,5,0,206,0,6,2,5,3,61,24,0
VOIP,1,0,3,2,0,0,1935,4,16,5,1,7,0,4
VPN-BROWSING,486,121,3,39,13,15,0,984,28,37,6,11,7,0
VPN-CHAT,59,112,18,35,7,4,1,51,384,114,20,30,2,0
VPN-FT,52,62,52,28,31,22,5,42,114,799,59,77,8,1
VPN-MAIL,0,0,0,126,0,1,1,1,0,8,199,7,0,0
VPN-P2P,12,8,2,4,58,11,0,20,3,66,2,462,2,0
VPN-STREAMING,0,0,1,0,0,15,0,0,0,3,0,28,286,0
VPN-VOIP,1,1,6,3,1,3,682,2,1,8,0,8,0,873
